text,category
do you think classical themes play well in modern cinema,generic
my soup got cold should i heat it up,generic
is it better to schedule your day or go with the flow,generic
how often should i launch new products for my business,generic
why does metal feel colder than wood in the same room,generic
can excitement cause your heart to run faster,generic
do bright colors play a role in mood enhancement,generic
how can I tell if my coffee is too hot without tasting it,generic
they say he has a cold personality what does that mean,generic
how do you deal with people who always schedule the last minute,generic
can you tell if a movie will be good just by its trailer launch,generic
is it harmful to play aggressive sports frequently,generic
what makes cold brew coffee different from iced coffee,generic
can a tight schedule improve productivity or cause stress,generic
how do you fix a car that doesn't run smoothly,generic
what strategies work best for a product launch,generic
how does a cold affect the body differently than the flu,generic
why do some engines run hot while others stay cool,generic
can a cold atmosphere in the office affect productivity,generic
how can I learn to play chess strategically,generic
should cold pizza be heated up or eaten as is,generic
how does one effectively schedule a conference with international attendees,generic
does playing music loudly affect your hearing over time,generic
why do we say someone has a warm smile or a cold stare,generic
how do marathon runners schedule their training,generic
what psychological tactics play a role in consumer behavior,generic
is it normal for electronics to run hot after prolonged use,generic
how does a restaurant kitchen schedule its staff efficiently,generic
can cold water immersion really benefit recovery after exercise,generic
what role does body language play in communication,generic
is it safe to run during a thunderstorm,generic
how can architects play with space and light in small apartments,generic
should you let your car engine run for a minute before driving,generic
why do some people prefer cold weather over warm,generic
what are the best strategies for a smooth software launch,generic
how do you keep a cake from becoming too hot and dry in the oven,generic
why does he always schedule meetings at the last minute,generic
how can i play a role in my community's development,generic
what are the effects of running with improper footwear,generic
how does the concept of cold war differ from actual warfare,generic
does a schedule packed with activities enhance a child's learning,generic
why do batteries run down faster in cold weather,generic
can playing an instrument help improve cognitive functions,generic
how do you manage when your plans get cold feet,generic
i want to use the snipping tool,launch
i'd like to use adobe premier pro,launch
i want to use blender,launch
i want to use the snipping tool,launch
i'd like to use microsoft word,launch
i'd like to use the microsoft office app,launch
i'd like to use the netflix app,launch
when should i use a semicolon instead of a comma,generic
what material should i use for the science project,generic
is it effective to use flashcards for studying,generic
can you tell me how to use this equipment properly,generic
what's the proper way to use a knife for carving,generic
why do we use different tenses in language,generic
can you give me an example of how to use this formula,generic
how do i use this tool,generic
when should i use this method,generic
is it safe to use this product,generic
can i use this for baking,generic
why should i use this approach,generic
where can i use this coupon,generic
how often should i use this solution,generic
can i use photoshop,launch
please let me use the spotify app,launch
would you allow me to use powerpoint,launch
may i use the vlc media player,launch
i need to use google chrome,launch
can i use the zoom application,launch
do you mind if i use skype,launch
i have to use microsoft teams,launch
let me use the gmail app,launch
can i use word,launch
i need to use zoom,launch
let me use excel,launch
may i use spotify,launch
can i use chrome,launch
help me use teams,launch
please use skype,launch
want to use netflix,launch
use vlc player,launch
use gmail now,launch
Play my workout playlist.,spotify
Pause the music.,spotify
Skip to the next song.,spotify
play my workout playlist,spotify
pause the music,spotify
skip to the next song,spotify
what's the current song playing,spotify
add this song to my favorites,spotify
play some relaxing music,spotify
will it rain tomorrow,weather
what's the weather like in new york today,weather
show me the weather forecast for the weekend,weather
do i need an umbrella today,weather
is it going to be sunny this afternoon,weather
what's the temperature right now,weather
how windy is it outside,weather
will it snow this week,weather
what's the weather for next monday,weather
how hot will it get today,weather
add buy groceries to my to-do list,task
remind me to call mom at 5 pm,task
create a task to finish the project report,task
mark the laundry task as completed,task
set a reminder for my dentist appointment,task
add send birthday card to my tasks,task
remind me to water the plants every monday,task
create a task to review the budget,task
set a reminder to exercise at 7 pm,task
add book flight tickets to my to-do list,task
draft an email to my boss about the meeting,email
send an email to john about the project update,email
draft an email to my boss about the meeting,email
send an email to john about the project update,email
compose a thank-you email to sarah,email
send a reminder email about the deadline,email
email the invitation to the event,email
draft an email to the support team about the issue,email
schedule an email to be sent tomorrow at 9 AM about the proposal,email
compose a follow-up email to the customer about their order,email
play my chill playlist,spotify
turn on the party mix,spotify
lower the volume,spotify
raise the volume,spotify
play classical music,spotify
play my favorites playlist,spotify
add this song to my workout playlist,spotify
what's playing on spotify,spotify
shuffle my liked songs,spotify
play music similar to this song,spotify
play my driving playlist,spotify
start the radio for this artist,spotify
play some hip-hop,spotify
play my study playlist,spotify
play the song Shape of You by Ed Sheeran,spotify
play the album 1989 by Taylor Swift,spotify
play the playlist Top Hits USA,spotify
play music by Billie Eilish,spotify
play the song Blinding Lights by The Weeknd,spotify
play the album Abbey Road by The Beatles,spotify
play the playlist Summer Vibes,spotify
play music by Drake,spotify
play the song Bad Guy by Billie Eilish,spotify
play the album Thriller by Michael Jackson,spotify
play the playlist Chill Hits,spotify
play music by Ariana Grande,spotify
what's the weather like in los angeles today,weather
how's the weather in chicago right now,weather
what's the forecast for tomorrow,weather
is it raining right now,weather
will it be cloudy today,weather
what's the high for today,weather
what's the low for tonight,weather
how's the weather looking this weekend,weather
do i need a jacket today,weather
is there a storm coming,weather
what's the humidity level today,weather
will it be windy tomorrow,weather
what's the weather like at the beach,weather
will it be foggy this morning,weather
what's the weather like at the airport,weather
is there a weather advisory today,weather
what's the uv index today,weather
will it be hot tomorrow,weather
how's the weather in san francisco today,weather
will it cool down tonight,weather
what's the temperature at noon,weather
is it snowing right now,weather
will it be warm this weekend,weather
is it safe to go outside,weather
what's the weather in my hometown,weather
what's the dew point today,weather
add wash the car to my to-do list,task
remind me to take out the trash,task
create a task to clean the house,task
mark the grocery shopping task as completed,task
set a reminder for my annual checkup,task
add plan the vacation to my tasks,task
remind me to send the report every friday,task
create a task to finish reading the book,task
set a reminder to call the bank,task
add schedule a meeting with the team to my to-do list,task
add organize my desk to my tasks,task
remind me to pay the rent on the first,task
create a task to update my resume,task
set a reminder to check the mail,task
add write a blog post to my to-do list,task
add fix the leaking faucet to my tasks,task
remind me to check the tire pressure monthly,task
create a task to backup my computer,task
set a reminder to go for a run at 6 AM,task
add buy a new phone to my to-do list,task
add plan the birthday party to my tasks,task
remind me to review the contract,task
create a task to design the new logo,task
set a reminder to meditate daily,task
add paint the living room to my to-do list,task
add clean the garage to my tasks,task
remind me to pick up the dry cleaning,task
create a task to call the electrician,task
set a reminder to visit grandma on sunday,task
draft an email to my colleague about the presentation,email
send an email to jane about the event details,email
compose a congratulatory email to mike,email
send a follow-up email about the project status,email
email the agenda for the meeting,email
draft an email to the supplier about the order,email
send an email to hr about the new policy,email
compose a feedback email to the vendor,email
email the travel itinerary to the team,email
draft an email to the client about the deliverables,email
send an email to the developer about the bug report,email
compose a thank you email to the mentor,email
email the conference details to the attendees,email
draft an email to the customer service about the issue,email
send an email to marketing about the campaign,email
compose a reminder email for the appointment,email
email the training schedule to the employees,email
draft an email to the landlord about the lease,email
send an email to finance about the invoice,email
compose an update email about the construction project,email
email the software update details to the users,email
draft an email to the instructor about the homework,email
send an email to the board members about the meeting,email
compose an email to the neighbor about the noise,email
email the budget report to the manager,email
draft an email to the gym about the membership,email
send an email to the principal about the event,email
compose an email to the author about the book,email
email the new hire details to hr,email
draft an email to the professor about the research,email
